100.0;0.0;0.0;0.0;0.0
200.0;0.0;0.0;0.0;0.0
300.0;0.0;0.0;0.0;0.0
400.0;0.0;0.0;0.0;0.0
500.0;0.0;0.0;0.0;0.0
600.0;0.0;0.0;0.0;0.0
700.0;0.0;0.0;0.0;0.0
800.0;0.0;0.0;0.0;0.0
900.0;0.0;0.0;0.0;0.0
1000.0;0.0;0.0;0.0;0.0
1100.0;0.0;0.0;0.0;0.0
1200.0;0.0;0.0;0.0;0.0
1300.0;0.0;0.0;0.0;0.0
1400.0;0.0;0.0;0.0;0.0
1500.0;0.0;0.0;0.0;0.0
1600.0;0.0;0.0;0.0;0.0
1700.0;0.0;0.0;0.0;0.0
1800.0;0.0;0.0;0.0;0.0
1900.0;0.0;0.0;0.0;0.0
2000.0;0.0;0.0;0.0;0.0
2100.0;0.0;0.0;0.0;0.0
2200.0;0.0;0.0;0.0;0.0
2300.0;0.0;0.0;0.0;0.0
2400.0;0.0;0.0;0.0;0.0
2500.0;0.0;0.0;0.0;0.0
2600.0;0.0;0.0;0.0;0.0
2700.0;0.0;0.0;0.0;0.0
2800.0;0.0;0.0;0.0;0.0
2900.0;0.0;0.0;0.0;0.0
3000.0;0.0;0.0;0.0;0.0
3100.0;0.0;0.0;0.0;0.0
3200.0;0.0;0.0;0.0;0.0
3300.0;0.0;0.0;0.0;0.0
3400.0;0.0;0.0;0.0;0.0
3500.0;1.0;0.6;0.0;0.0
3600.0;0.0;0.0;0.0;0.0
3700.0;0.0;0.0;0.0;0.0
3800.0;0.0;0.0;0.0;0.0
3900.0;0.0;0.0;0.0;0.0
4000.0;0.6;0.0;0.0;0.0
4100.0;0.0;3.0;0.0;1.0
4200.0;1.0;3.0;0.6;0.6
4300.0;0.0;3.0;0.0;0.0
4400.0;0.0;3.0;0.0;0.0
4500.0;0.0;3.0;0.2;0.0
4600.0;1.2;1.2;0.6;0.6
4700.0;0.0;0.0;0.0;0.0
4800.0;0.6;1.0;1.0;0.0
4900.0;0.0;0.0;0.0;0.0
5000.0;0.0;0.0;0.0;0.0
5100.0;0.8;0.6;1.0;0.6
5200.0;0.0;0.0;0.0;0.0
5300.0;1.2;0.0;1.2;0.6
5400.0;1.2;0.6;0.6;0.6
5500.0;1.6;0.0;1.6;1.2
5600.0;1.0;1.0;0.0;2.0
5700.0;0.6;1.4;0.6;1.0
5800.0;0.6;0.6;0.0;1.0
5900.0;0.0;0.0;0.0;1.0
6000.0;3.0;0.0;0.0;0.0
6100.0;3.0;0.6;0.0;0.0
6200.0;3.0;1.0;0.0;0.0
6300.0;3.0;1.0;1.0;0.0
6400.0;3.0;2.2;2.8000000000000003;2.4
6500.0;3.6;3.8000000000000003;3.8000000000000003;3.6
6600.0;3.0;3.2;2.8000000000000003;2.6
6700.0;0.0;2.0;0.0;3.0
6800.0;1.2;1.0;0.6;3.0
6900.0;1.2;2.0;0.8;3.0
7000.0;2.4;3.0;1.7999999999999998;3.0
7100.0;4.2;1.0;1.0;0.6
7200.0;3.0;1.0;1.2;0.0
7300.0;3.0;1.0;1.0;0.0
7400.0;3.0;2.2;1.6;1.4
7500.0;3.0;1.4;1.0;3.0
7600.0;3.6;4.4;2.2;4.0
7700.0;3.0;3.4000000000000004;3.0;4.0
7800.0;1.2;1.2;1.2;0.6
7900.0;0.0;0.0;0.0;0.0
8000.0;1.7999999999999998;1.4;1.7999999999999998;1.2
8100.0;1.2;1.4;1.2;3.0
8200.0;3.6;3.4000000000000004;3.6;3.0
8300.0;3.4000000000000004;2.0;3.0;3.0
8400.0;5.6;5.0;5.199999999999999;5.3999999999999995
8500.0;6.199999999999999;6.199999999999999;6.399999999999999;5.999999999999999
8600.0;5.199999999999999;5.6;5.6;5.3999999999999995
8700.0;6.999999999999998;6.0;6.6;5.8
8800.0;6.399999999999999;4.0;8.399999999999999;5.6
8900.0;5.999999999999999;6.999999999999998;6.999999999999998;7.199999999999999
9000.0;6.0;6.399999999999999;4.8;4.0
9100.0;6.0;3.6;3.6;3.6
9200.0;6.0;6.399999999999999;5.3999999999999995;5.199999999999999
9300.0;6.0;8.0;7.599999999999999;7.199999999999998
9400.0;6.0;4.6;5.999999999999999;4.6
9500.0;5.999999999999999;5.0;3.2;5.799999999999999
9600.0;5.3999999999999995;5.799999999999999;5.799999999999999;5.999999999999999
9700.0;3.0;4.0;4.0;2.4
9800.0;3.4000000000000004;3.4000000000000004;3.4000000000000004;3.4000000000000004
9900.0;3.4000000000000004;2.8000000000000003;3.8000000000000003;4.0
10000.0;2.8000000000000003;2.8000000000000003;2.8000000000000003;3.2
10100.0;2.8000000000000003;2.4;2.2;2.8000000000000003
10200.0;2.8000000000000003;3.0;1.0;2.8000000000000003
10300.0;5.0;5.3999999999999995;5.199999999999999;5.199999999999999
10400.0;3.2;4.2;2.8000000000000003;3.6
10500.0;6.999999999999998;7.399999999999999;7.199999999999998;7.199999999999998
10600.0;6.399999999999999;6.399999999999999;4.4;5.199999999999999
10700.0;6.199999999999999;3.6;5.199999999999999;4.8
10800.0;9.199999999999998;9.799999999999997;9.399999999999997;9.799999999999997
10900.0;9.799999999999997;13.399999999999997;10.599999999999996;9.399999999999999
