time;ap0;ap1;ap2;ap3
100.0;109;94;111;86
200.0;109;94;111;86
300.0;109;94;111;86
400.0;109;94;111;86
500.0;109;95;110;86
600.0;109;95;110;86
700.0;109;95;110;86
800.0;109;95;110;86
900.0;109;95;110;86
1000.0;109;95;110;86
1100.0;108;96;110;86
1200.0;108;96;110;86
1300.0;108;96;110;86
1400.0;108;96;110;86
1500.0;108;96;110;86
1600.0;108;96;110;86
1700.0;108;96;110;86
1800.0;108;96;110;86
1900.0;108;96;110;86
2000.0;108;96;110;86
2100.0;108;96;110;86
2200.0;108;96;110;86
2300.0;108;96;110;86
2400.0;108;96;110;86
2500.0;108;96;110;86
2600.0;109;96;109;86
2700.0;109;97;109;85
2800.0;109;97;109;85
2900.0;109;97;109;85
3000.0;109;97;109;85
3100.0;109;97;109;85
3200.0;109;97;109;85
3300.0;109;97;109;85
3400.0;110;96;109;85
3500.0;110;96;109;85
3600.0;110;96;109;85
3700.0;110;96;109;85
3800.0;110;96;109;85
3900.0;110;96;109;85
4000.0;110;96;109;85
4100.0;110;96;109;85
4200.0;109;97;109;85
4300.0;109;97;109;85
4400.0;109;97;109;85
4500.0;109;97;109;85
4600.0;109;97;109;85
4700.0;109;97;109;85
4800.0;109;96;110;85
4900.0;109;96;110;85
5000.0;109;96;110;85
5100.0;109;96;110;85
5200.0;109;96;110;85
5300.0;109;96;110;85
5400.0;110;95;110;85
5500.0;110;95;110;85
5600.0;110;94;110;86
5700.0;110;94;110;86
5800.0;110;94;110;86
5900.0;110;94;110;86
6000.0;110;94;110;86
6100.0;110;94;110;86
6200.0;110;94;110;86
6300.0;110;94;110;86
6400.0;110;94;110;86
6500.0;110;94;110;86
6600.0;110;94;110;86
6700.0;110;94;110;86
6800.0;110;94;110;86
6900.0;109;94;111;86
7000.0;109;94;111;86
7100.0;109;94;111;86
7200.0;109;94;111;86
7300.0;109;94;111;86
7400.0;109;94;111;86
7500.0;109;94;111;86
7600.0;109;94;111;86
7700.0;110;94;111;85
7800.0;110;95;110;85
7900.0;110;95;110;85
8000.0;110;95;110;85
8100.0;110;95;110;85
8200.0;110;95;110;85
8300.0;109;96;110;85
8400.0;109;96;110;85
8500.0;109;96;110;85
8600.0;109;96;110;85
8700.0;109;96;110;85
8800.0;109;96;110;85
8900.0;109;96;110;85
9000.0;109;96;110;85
9100.0;109;96;110;85
9200.0;109;96;110;85
9300.0;109;96;110;85
9400.0;109;96;110;85
9500.0;109;96;110;85
9600.0;109;96;110;85
9700.0;109;96;110;85
9800.0;109;96;110;85
9900.0;109;96;110;85
10000.0;109;96;110;85
10100.0;109;96;110;85
10200.0;109;96;110;85
10300.0;109;96;110;85
10400.0;109;96;110;85
10500.0;109;96;110;85
10600.0;109;96;110;85
10700.0;109;96;110;85
10800.0;109;96;110;85
10900.0;108;96;110;86
