time;load_on_edge;load_on_cloud;load_on_mobile
100.0;0.0;0.0;0.0
200.0;1.25;0.0;0.0
300.0;2.5;0.0;0.0
400.0;6.25;0.0;0.0
500.0;7.75;0.0;0.0
600.0;7.0;0.0;0.0
700.0;9.0;0.0;0.0
800.0;8.25;0.0;0.0
900.0;10.25;0.0;0.0
1000.0;11.25;0.0;0.0
1100.0;8.25;0.0;0.0
1200.0;13.5;0.0;0.0
1300.0;13.0;0.0;0.0
1400.0;13.0;0.0;0.0
1500.0;13.25;0.0;0.0
1600.0;12.5;0.0;0.0
1700.0;12.5;0.0;0.0
1800.0;15.25;0.0;0.0
1900.0;13.5;0.0;0.0
2000.0;13.0;0.0;0.0
2100.0;16.75;0.0;0.0
2200.0;16.75;0.0;0.0
2300.0;15.25;0.0;0.0
2400.0;16.75;0.0;0.0
2500.0;16.75;0.0;0.0
2600.0;15.25;0.0;0.0
2700.0;13.75;0.0;0.0
2800.0;13.0;0.0;0.0
2900.0;12.25;0.0;0.0
3000.0;12.25;0.0;0.0
3100.0;14.25;0.0;0.0
3200.0;13.0;0.0;0.0
3300.0;15.75;0.0;0.0
3400.0;15.0;0.0;0.0
3500.0;16.5;0.0;0.0
3600.0;16.25;0.0;0.0
3700.0;17.0;0.0;0.0
3800.0;17.0;0.0;0.0
3900.0;19.25;0.0;0.0
4000.0;18.75;0.0;0.0
4100.0;18.5;0.0;0.0
4200.0;21.75;0.0;0.0
4300.0;20.0;0.0;0.0
4400.0;20.5;0.0;0.0
4500.0;20.5;0.0;0.0
4600.0;23.25;0.0;0.0
4700.0;21.75;0.0;0.0
4800.0;23.75;0.0;0.0
4900.0;20.75;0.0;0.0
5000.0;21.5;0.0;0.0
5100.0;23.25;0.0;0.0
5200.0;21.75;0.0;0.0
5300.0;23.75;0.0;0.0
5400.0;23.75;0.0;0.0
5500.0;26.5;0.0;0.0
5600.0;22.75;0.0;0.0
5700.0;23.5;0.0;0.0
5800.0;25.0;0.0;0.0
5900.0;23.75;0.0;0.0
6000.0;27.25;0.0;0.0
6100.0;25.5;0.0;0.0
6200.0;24.0;0.0;0.0
6300.0;29.0;0.0;0.0
6400.0;31.5;0.0;0.0
6500.0;30.5;0.0;0.0
6600.0;31.25;0.0;0.0
6700.0;35.25;0.0;0.0
6800.0;39.5;0.0;0.0
6900.0;32.75;0.0;0.0
7000.0;38.5;0.0;0.0
7100.0;32.5;0.0;0.0
7200.0;32.25;0.0;0.0
7300.0;30.75;0.0;0.0
7400.0;35.75;0.0;0.0
7500.0;32.5;0.0;0.0
7600.0;35.75;0.0;0.0
7700.0;39.25;0.0;0.0
7800.0;37.75;0.0;0.0
7900.0;35.5;0.0;0.0
8000.0;39.0;0.0;0.0
8100.0;35.75;0.0;0.0
8200.0;40.25;0.0;0.0
8300.0;41.25;0.0;0.0
8400.0;41.75;0.0;0.0
8500.0;40.75;0.0;0.0
8600.0;35.5;0.0;0.0
8700.0;42.25;0.0;0.0
8800.0;39.0;0.0;0.0
8900.0;46.25;0.0;0.0
9000.0;43.0;0.0;0.0
9100.0;43.0;0.0;0.0
9200.0;42.75;0.0;0.0
9300.0;47.5;0.0;0.0
9400.0;50.5;0.0;0.0
9500.0;50.5;0.0;0.0
9600.0;50.0;0.0;0.0
9700.0;47.25;0.0;0.0
9800.0;54.25;0.0;0.0
9900.0;56.0;0.0;0.0
10000.0;48.25;0.0;0.0
10100.0;49.75;0.0;0.0
10200.0;50.5;0.0;0.0
10300.0;55.0;0.0;0.0
10400.0;44.5;0.0;0.0
10500.0;52.5;0.0;0.0
10600.0;49.25;0.0;0.0
10700.0;50.5;0.0;0.0
10800.0;47.5;0.0;0.0
10900.0;46.0;0.0;0.0
