100.0;3.0;0.0;0.0;0.0
200.0;3.0;1.0;0.0;0.0
300.0;3.0;1.0;0.0;0.0
400.0;3.0;1.0;3.0;0.0
500.0;3.0;0.0;3.0;0.0
600.0;3.0;1.0;3.0;0.0
700.0;3.0;4.0;3.0;1.0
800.0;3.0;3.0;0.0;1.0
900.0;1.0;3.0;0.0;1.0
1000.0;1.0;0.0;1.0;0.0
1100.0;1.0;1.0;1.0;3.0
1200.0;0.0;3.0;1.0;3.0
1300.0;0.0;3.0;1.0;3.0
1400.0;0.0;0.0;0.0;3.0
1500.0;0.0;0.0;0.0;3.0
1600.0;0.0;0.0;0.0;3.0
1700.0;0.0;0.0;0.0;0.0
1800.0;1.0;0.0;0.0;0.0
1900.0;0.0;0.0;0.0;0.0
2000.0;0.0;0.0;0.0;0.0
2100.0;3.0;1.0;0.0;0.0
2200.0;3.0;0.0;0.0;0.0
2300.0;3.0;1.0;0.0;0.0
2400.0;3.0;1.0;1.0;1.0
2500.0;3.0;1.0;1.0;1.0
2600.0;3.0;0.0;1.0;0.0
2700.0;0.0;0.0;0.0;0.0
2800.0;0.0;0.0;0.0;0.0
2900.0;1.0;0.0;0.0;0.0
3000.0;1.0;0.0;0.0;0.0
3100.0;1.0;1.0;0.0;0.0
3200.0;1.0;1.0;1.0;0.0
3300.0;1.0;0.0;0.0;1.0
3400.0;0.0;0.0;0.0;1.0
3500.0;1.0;0.0;0.0;0.0
3600.0;1.0;0.0;0.0;0.0
3700.0;1.0;0.0;0.0;0.0
3800.0;1.0;0.0;0.0;0.0
3900.0;0.0;3.0;0.0;0.0
4000.0;1.0;3.0;0.0;0.0
4100.0;1.0;3.0;3.0;0.0
4200.0;1.0;3.0;3.0;1.0
4300.0;0.0;0.0;3.0;0.0
4400.0;0.0;0.0;3.0;0.0
4500.0;0.0;0.0;0.0;0.0
4600.0;1.0;1.0;0.0;0.0
4700.0;1.0;1.0;0.0;0.0
4800.0;1.0;1.0;3.0;0.0
4900.0;0.0;1.0;3.0;0.0
5000.0;0.0;1.0;3.0;0.0
5100.0;1.0;1.0;3.0;1.0
5200.0;1.0;1.0;3.0;1.0
5300.0;1.0;0.0;3.0;0.0
5400.0;0.0;0.0;3.0;0.0
5500.0;1.0;1.0;3.0;1.0
5600.0;1.0;0.0;0.0;0.0
5700.0;0.0;0.0;0.0;0.0
5800.0;3.0;0.0;0.0;0.0
5900.0;3.0;0.0;0.0;0.0
6000.0;3.0;0.0;0.0;0.0
6100.0;0.0;0.0;0.0;0.0
6200.0;0.0;0.0;0.0;0.0
6300.0;1.0;3.0;1.0;0.0
6400.0;1.0;3.0;1.0;0.0
6500.0;0.0;0.0;0.0;0.0
6600.0;0.0;0.0;0.0;0.0
6700.0;0.0;0.0;0.0;0.0
6800.0;0.0;0.0;0.0;0.0
6900.0;0.0;0.0;0.0;0.0
7000.0;3.0;1.0;0.0;0.0
7100.0;1.2;1.2;1.0;4.2
7200.0;1.0;1.0;1.0;3.0
7300.0;1.0;1.0;0.0;3.0
7400.0;1.6;2.2;1.6;3.0
7500.0;1.0;0.0;0.0;3.0
7600.0;1.0;0.0;0.0;3.0
7700.0;0.0;0.0;0.0;0.0
7800.0;1.0;0.0;0.0;0.0
7900.0;1.0;0.0;0.0;0.0
8000.0;1.0;1.0;0.6;0.6
8100.0;4.0;1.0;4.0;0.2
8200.0;4.0;1.0;3.0;1.0
8300.0;4.0;1.0;3.0;2.0
8400.0;4.0;3.4000000000000004;3.0;2.6
8500.0;4.0;2.0;0.0;1.0
8600.0;2.4;1.6;2.6;2.4
8700.0;0.0;3.0;2.0;2.0
8800.0;1.2;3.0;2.2;2.2
8900.0;1.2;3.0;1.6;0.6
9000.0;1.0;3.0;0.6;0.0
9100.0;1.0;0.6;0.6;0.0
9200.0;1.0;1.0;0.0;0.0
9300.0;1.0;3.0;0.6;1.0
9400.0;1.0;0.6;0.6;0.0
9500.0;1.0;1.2;1.0;0.6
9600.0;1.0;1.2;1.6;1.6
9700.0;2.2;1.7999999999999998;4.0;1.8
9800.0;1.6;0.6;4.0;1.0
9900.0;2.4;1.7999999999999998;3.0;1.6
10000.0;0.6;0.0;3.0;1.0
10100.0;3.0;0.0;0.0;0.0
10200.0;1.6;1.7999999999999998;1.2;0.6
10300.0;1.6;3.0;1.6;1.2
10400.0;1.6;1.2;1.0;1.2
10500.0;1.0;3.0;1.0;0.6
10600.0;2.8000000000000003;3.0;2.2;2.2
10700.0;0.6;3.0;1.0;1.0
10800.0;1.6;3.0;1.6;1.0
10900.0;2.0;3.0;1.6;4.2
